sample_id,episode,variation_id,score,label,completed,collided,progress_ratio,qp_failures,mean_abs_cte,min_obstacle_clearance,min_barrier_clearance,alpha,margin,lookahead_l,barrier_lookahead_l,Wv,Ww,p_slack,eps_clf
0,0,0,228.0997183163383,1,True,False,1.0,0,0.3116362035449291,-0.04996895661962354,0.08060576019229963,3.0,0.05,0.2,0.1,100000.0,1.0,50.0,1.0
1,0,1,117.59235382797135,-1,False,False,0.8358062938203163,0,0.3092913349153797,-0.07338396549179056,-0.051102887184048776,9.751336532465338,0.10972138009695755,0.20738028114658677,0.0960331503984947,18034.866461099427,3.557437058886917,20.341855998012495,1.6960883112507026
2,0,2,148.36899951896012,-1,False,False,0.1169085276373716,0,0.1711432207529189,-0.028637609196787886,1.022071803617209,12.158972002528648,0.06679349528437208,0.11757616109566957,0.10454809793612374,15952.908756480228,2.057767070589263,101.47479746301518,1.240945498526637
3,0,3,207.00870231473107,-1,False,False,0.11266916680254362,0,0.10747722005764553,0.01780286969750068,1.0404273800059471,14.937003968081498,0.0992661919213753,0.17821405359382092,0.2182336236291016,14332.193566333808,1.060742118502456,143.6559489709826,0.3747014135343517
4,0,4,173.26463918637796,1,True,False,1.0,0,0.5017166899070631,-0.03489706496570108,0.08484298928695236,1.499523902830346,0.07148888202713702,0.14857914481180493,0.20674684371085636,43966.05358381858,2.2994117630982984,98.99864495932306,0.7207753674464623
5,0,5,64.04029333061295,-1,False,False,0.8477091146257949,0,0.4945302508837396,0.2295812467253507,-0.03966951099033608,1.165116357595082,0.039240214398531065,0.19148610296754945,0.09209707583791923,21761.980248641295,0.5130698471822659,289.3256425236689,0.5625838378044477
6,0,6,242.11551296795463,1,True,False,1.0,0,0.28040203677947567,-0.039096011324763646,0.011265144043212993,4.746390263892996,0.10803321539808286,0.1568602538750004,0.1955440394185391,45233.03778396741,3.0961983157665,26.84944807219261,1.2199444963400308
7,0,7,72.58233766149137,-1,False,False,0.8390673406163378,0,0.45232166490610576,-0.08080960645642396,-0.027803848914346313,8.1088113082049,0.10713393766928805,0.12864017121268995,0.1557094507531541,9392.372875093755,1.8567113038875505,56.573810102145856,0.5553395394197682
8,0,8,238.74080238381663,-1,False,False,0.2815913908364585,0,0.08969182389638328,-0.08698389712427634,0.7209525979200242,12.428733453467059,0.05794461715503124,0.2459620980381321,0.15439867088169765,41180.47562936946,2.7329880327591627,176.46836233671075,0.5563396325862268
9,0,9,275.2573111294011,1,True,False,1.0,0,0.22039175013301177,-0.05414760672638019,-0.10494725375723332,7.164388540634626,0.04395639618295233,0.13647467663975651,0.0754726550290793,109987.69434624501,1.25251413074558,173.82706322582766,0.8107141385144194
10,0,10,216.13351499602723,-1,False,False,0.11658242295776944,0,0.09938277412523268,-0.030761839011082592,1.0495580951738899,13.237078366093062,0.08622147383384537,0.08500700500357808,0.19521189133992847,103379.70090268519,3.6637087586857437,125.15931747459896,0.5472819213935758
