sample_id,episode,variation_id,score,label,completed,collided,progress_ratio,qp_failures,mean_abs_cte,min_obstacle_clearance,min_barrier_clearance,class_k_p,class_k_q
0,0,0,167.7806172511389,1,True,False,1.0,0,0.3116362035449291,-0.04996895661962354,0.08060576019229963,3.0,1.0
1,0,1,168.41453812529883,1,True,False,1.0,0,0.26424364578352555,0.19862346656653196,0.393787685621261,2.292264776365606,2.2738703621330663
2,0,2,167.96109006579934,1,True,False,1.0,0,0.2179873307052956,-0.07225875873597344,-0.033998165364000424,4.874867885507827,0.7954558179793021
3,0,3,167.54802805933232,1,True,False,1.0,0,0.4086619901112814,0.19344270194537494,0.4578503018644167,0.4499758736707275,2.221817579871776
4,0,4,15.405739562282431,-1,False,False,0.278330344040437,0,0.6795640867580263,0.24427187910767523,0.3772219151889875,0.10267336204247662,2.1067025204420857
5,0,5,168.65003260916632,1,True,False,1.0,0,0.22489885106212684,-0.002025347343951392,0.09960094991857109,5.426200246531796,1.329456896256186
6,0,6,37.15930668114506,-1,False,False,0.5861731615848688,0,0.6454691049659594,0.003403539616985571,0.0971135774602666,0.45648468880377246,0.9125363466217014
7,0,7,39.89396722448352,-1,False,False,0.6205772052828958,0,0.5910728575531976,0.04934216613967256,0.18039692982204192,0.35860759383293866,1.2791678729418225
8,0,8,167.0764868226918,1,True,False,1.0,0,0.48521968094636986,-0.009333155809092233,0.14670422870360073,1.2529768761003324,1.5176941745638837
9,0,9,168.65032102765878,1,True,False,1.0,0,0.22023848997995776,-0.013137082946909032,-0.01420463517444949,14.665587492191436,2.0438562222702568
10,0,10,23.972101445122902,-1,False,False,0.4537746616663949,0,0.9918578684593605,0.07687604699560523,-0.11467275366913134,2.2590132734973785,2.475712324900147
11,0,11,12.15478020774178,-1,False,False,0.241969672264797,0,0.7971828084656684,0.050977478864056666,0.023774107569756828,0.29412461806298723,0.652466474487258
12,0,12,-6009.975017674566,-1,False,False,0.1826186205772053,2005,1.2844852996671334,0.7162535640317149,-0.019162708757045635,2.1524946400414695,0.3966724175150434
13,0,13,22.829864260129938,-1,False,False,0.36442197945540517,0,0.4466123836247372,0.3040431701175671,0.43396791874821383,0.11957586818316752,1.4327554045970148
14,0,14,17.766021971305225,-1,False,False,0.4472525680743519,0,0.9801501019403109,0.10406642883102173,-0.23392241055312002,1.0339674251030584,2.317769101024275
15,0,15,168.49746615405263,1,True,False,1.0,0,0.25042230765789664,0.16296447335672493,0.2915498499624213,2.340204188792981,1.4310588225189307
16,0,16,166.4534624889766,1,True,False,1.0,0,0.5910739243453377,-0.0008192546758945679,0.022358806867528044,1.2057074367158787,0.8445328284601279
17,0,17,2.1447159213673075,-1,False,False,0.09995108429805968,0,0.8086433299161451,1.3933949416401288,0.13662714458966557,0.10608766139475478,0.7232847167676835
18,0,18,167.9279898258751,1,True,False,1.0,0,0.3236964963249741,-0.030452679471018,0.01395195645610596,3.205716032654663,0.7413347927713895
19,0,19,-6798.628202043349,-1,False,False,0.028208054785586172,2264,1.4337943130566877,4.2483585160461015,0.07685989064911673,0.6370077783076364,0.30821533251456706
20,0,20,18.02581779292378,-1,False,False,0.28126528615685636,0,0.14316702416540483,-0.07576986269825499,0.6554459601248537,6.401173658766405,0.6398143783351677
21,0,21,63.039939381461274,-1,False,False,0.939996738953204,0,0.45997205754383597,0.1795666280883328,0.4392870273715166,0.382226248220587,2.236730738757823
22,0,22,24.852414717298213,-1,False,False,0.4554051850644057,0,0.9468791316129569,0.08209623521630853,-0.09800413429808692,1.286326821481832,2.1637305420049127
23,0,23,168.46094502187213,1,True,False,1.0,0,0.25650916302131255,0.17898711358248887,0.3496041641258991,2.4665103105731183,1.9318960841960857
24,0,24,27.934396602747327,-1,False,False,0.44513288765693787,0,0.5374842555397209,0.30609377066229626,0.32011310158742967,0.15816223246144553,1.4905164070282755
25,0,25,168.3014099730189,1,True,False,1.0,0,0.2830983378301809,0.2535862647798087,0.5087878965369967,1.2733820540670002,2.2169466287243376
26,0,26,26.31811096235125,-1,False,False,0.45361160932659383,0,0.8953959389692487,0.07118689804660937,-0.021099434097831896,0.6111440121953099,1.616004947855869
27,0,27,15.889068411851362,-1,False,False,0.26593836621555517,0,0.45443620387291694,0.36757829676555864,0.35884744459787965,0.13456650749684726,1.152789962443603
28,0,28,22.974042162543782,-1,False,False,0.39197782488178706,0,0.7440675965302188,0.5261359889346426,0.036711235071776135,0.5046108326765218,0.6304394039549941
29,0,29,168.52377738615664,1,True,False,1.0,0,0.21524318147229968,-0.036328218568409856,0.02946060361442203,5.976214985010309,1.1347815774106875
30,0,30,167.17653625136796,1,True,False,1.0,0,0.16518627031830604,-0.11440361279017526,-0.01099406011528166,13.484806411635372,1.5979817246233428
31,0,31,168.2425643576978,1,True,False,1.0,0,0.29290594038369877,0.16463729944963623,0.365738427769844,2.073278409960743,1.703592477734331
32,0,32,167.7180845146427,1,True,False,1.0,0,0.3609499859923413,-0.02881165059525899,-0.014139723392451467,2.964950606193687,0.6317336421704112
33,0,33,166.2531516379119,1,True,False,1.0,0,0.6244747270146795,0.03485592248544232,0.0664075869677772,0.9081598280085837,0.8270407160249513
34,0,34,16.347693643825252,-1,False,False,0.3186042719713028,0,0.9923370345168582,0.1306902236432264,-0.002040985519646224,0.7514031792866064,0.5127490066498404
35,0,35,7.827728685335686,-1,False,False,0.11381053318115116,0,0.02316810622414904,0.06489953103495787,1.0806738975808217,12.766803151860161,0.7730088821829361
36,0,36,167.79632257916717,1,True,False,1.0,0,0.3155551993653417,-0.047082467516414775,0.0955916482443561,2.8961583159247595,0.9609241792539547
