epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,764.293,0.72067,1.12527,0.91546,0.99657,0,0.8906,0.71667,0.86774,0.66228,0.83373,0.75,0.87788,0.56692,0.80162,2.29664,1.29318,1.11949,0,0.0014456,0.0014456,0.0014456
30,787.925,0.72776,1.12667,0.91783,0.99427,0,0.81208,0.71667,0.8717,0.69069,0.6805,0.88751,0.87492,0.55848,0.72468,2.0006,1.20169,1.04368,0,0.0014258,0.0014258,0.0014258
31,811.345,0.681,1.04774,0.88065,0.99839,0,0.89965,0.74713,0.88522,0.65962,0.79056,0.8,0.86913,0.55744,0.76567,1.80199,1.19148,1.06259,0,0.001406,0.001406,0.001406
32,834.531,0.67193,1.02177,0.86437,0.99264,0,0.77149,0.76667,0.7865,0.53297,0.73894,0.76667,0.7824,0.4684,0.94571,2.12907,1.36864,1.25197,0,0.0013862,0.0013862,0.0013862
33,857.899,0.69132,1.16399,0.901,1.0049,0,0.77877,0.76667,0.80766,0.57719,0.76111,0.75,0.74302,0.48301,0.86564,2.20212,1.3237,1.14661,0,0.0013664,0.0013664,0.0013664
34,881.156,0.7024,1.07608,0.90782,1.02789,0,0.90437,0.81667,0.90608,0.73945,0.86745,0.78333,0.84071,0.60166,0.71061,1.79983,1.0587,1.03712,0,0.0013466,0.0013466,0.0013466
35,904.405,0.66331,0.9757,0.90573,1.00442,0,0.87408,0.78333,0.90887,0.70968,0.87408,0.78333,0.90887,0.59057,0.74726,1.67561,1.08162,1.06745,0,0.0013268,0.0013268,0.0013268
36,928.323,0.675,0.99236,0.86687,1.01537,0,0.86183,0.75,0.88093,0.70613,0.86183,0.75,0.88093,0.63809,0.68748,1.47077,1.16801,1.01601,0,0.001307,0.001307,0.001307
37,951.658,0.60974,0.98007,0.82433,0.97416,0,0.79912,0.86195,0.87516,0.71702,0.79912,0.86195,0.87866,0.60311,0.68137,1.65234,1.10679,1.02775,0,0.0012872,0.0012872,0.0012872
38,974.961,0.6474,0.98668,0.81272,0.97412,0,0.90265,0.77278,0.89072,0.72297,0.90265,0.77278,0.89834,0.6185,0.65461,1.66578,1.07678,1.02022,0,0.0012674,0.0012674,0.0012674
39,998.34,0.66229,1.04291,0.8704,0.98984,0,0.94305,0.82806,0.9174,0.73699,0.94305,0.82806,0.9174,0.67259,0.63675,1.53177,1.05949,1.01195,0,0.0012476,0.0012476,0.0012476
40,1021.74,0.658,1.03492,0.82992,0.98152,0,0.88926,0.91667,0.95545,0.81212,0.89772,0.88333,0.95366,0.71922,0.57832,1.58601,0.93805,0.95966,0,0.0012278,0.0012278,0.0012278
41,1044.66,0.64119,1.01965,0.83015,1.01461,0,0.94631,0.88127,0.95864,0.80407,0.94631,0.88127,0.95864,0.7809,0.59032,1.15078,0.88425,0.9612,0,0.001208,0.001208,0.001208
42,1067.69,0.64901,0.99477,0.84339,0.99901,0,0.93001,0.91667,0.95166,0.79532,0.93001,0.91667,0.94747,0.78457,0.60351,0.91984,0.86363,0.97946,0,0.0011882,0.0011882,0.0011882
43,1090.89,0.6374,1.00767,0.82616,0.97767,0,0.91777,0.93011,0.95757,0.80077,0.91777,0.93011,0.95406,0.78538,0.59681,0.88672,0.86771,0.96933,0,0.0011684,0.0011684,0.0011684
44,1113.89,0.61902,0.92582,0.80175,0.98155,0,0.89754,0.87609,0.94927,0.79048,0.89754,0.87609,0.95424,0.75047,0.58544,0.98678,0.87186,0.96649,0,0.0011486,0.0011486,0.0011486
45,1136.99,0.62116,0.93998,0.803,0.97704,0,0.99029,0.83333,0.95842,0.75218,0.96974,0.81667,0.93213,0.7411,0.6696,1.10961,0.9121,1.0254,0,0.0011288,0.0011288,0.0011288
46,1159.9,0.61822,1.00316,0.80067,0.97904,0,0.89759,0.85,0.93673,0.71801,0.90899,0.85,0.94016,0.70182,0.68443,1.20041,1.0073,1.04847,0,0.001109,0.001109,0.001109
47,1182.99,0.59165,0.96647,0.80792,0.97025,0,0.86972,0.89014,0.94956,0.76779,0.85355,0.87433,0.9362,0.75446,0.66325,1.11042,0.95013,1.0444,0,0.0010892,0.0010892,0.0010892
48,1206.01,0.61854,0.88977,0.77853,0.98395,0,0.89937,0.88333,0.95352,0.80196,0.88172,0.86667,0.94583,0.77844,0.59343,1.02472,0.89296,0.99883,0,0.0010694,0.0010694,0.0010694
49,1229.34,0.58847,0.93429,0.76013,0.96522,0,0.94351,0.88333,0.95388,0.77433,0.92736,0.85107,0.94071,0.75739,0.63304,1.23881,0.87289,1.03378,0,0.0010496,0.0010496,0.0010496
50,1253.53,0.57878,0.81574,0.75866,0.9419,0,0.8723,0.95,0.95116,0.76902,0.94019,0.85,0.947,0.75883,0.68178,1.18251,0.8356,1.05723,0,0.0010298,0.0010298,0.0010298
51,1277.09,0.57765,0.89075,0.75054,0.94994,0,0.87398,0.91667,0.94312,0.76731,0.87398,0.91667,0.94806,0.78,0.65937,0.99629,0.83786,1.02106,0,0.00101,0.00101,0.00101
52,1300.39,0.56412,0.95315,0.71595,0.95404,0,0.94125,0.85,0.93295,0.76816,0.94125,0.85,0.94163,0.78856,0.65817,0.84703,0.82952,1.00987,0,0.0009902,0.0009902,0.0009902
53,1323.65,0.54156,0.84535,0.71153,0.93899,0,0.92852,0.86599,0.93619,0.77637,0.92852,0.86599,0.94678,0.79696,0.64543,0.8029,0.83448,1.00544,0,0.0009704,0.0009704,0.0009704
54,1347.15,0.55071,0.8757,0.71875,0.94816,0,0.90074,0.83333,0.92807,0.76685,0.92007,0.85,0.93665,0.78173,0.62506,0.90888,0.88481,0.99852,0,0.0009506,0.0009506,0.0009506
55,1370.46,0.54552,0.78588,0.68016,0.93968,0,0.91973,0.81667,0.93419,0.78235,0.93869,0.83333,0.94261,0.77605,0.59022,0.92948,0.85116,0.98214,0,0.0009308,0.0009308,0.0009308
