candidate_id,episode,variation_id,score,completed,collided,progress_ratio,qp_failures,mean_abs_cte,min_obstacle_clearance,min_barrier_clearance,alpha,margin,lookahead_l,barrier_lookahead_l,Wv,Ww,p_slack
0,0,0,166.6571093586938,True,False,1.0,0,0.41489239182038534,-0.036854489637754756,0.09377497926385384,2.0,0.035,0.08,0.08,50000.0,1.0,50.0
0,1,1,171.49749342034846,True,False,1.0,0,0.27566309609651213,0.17508177760708496,0.24960090617368133,2.0,0.035,0.08,0.08,50000.0,1.0,50.0
0,2,2,166.5781086489511,True,False,1.0,0,0.4194239688235182,-0.03866777613868014,0.09423218850682949,2.0,0.035,0.08,0.08,50000.0,1.0,50.0
1,0,3,168.38810314318476,True,False,1.0,0,0.21037824592040716,-0.017139045456210658,0.02338089164099698,5.0,0.05,0.1,0.1,100000.0,1.0,50.0
1,1,4,167.36479560964747,True,False,1.0,0,0.2867840398459775,-0.03898478972639442,0.023078389750788172,5.0,0.05,0.1,0.1,100000.0,1.0,50.0
1,2,5,168.315953528365,True,False,1.0,0,0.21846203039434123,-0.01816971600589319,0.023658358458310255,5.0,0.05,0.1,0.1,100000.0,1.0,50.0
2,0,6,164.99574125983943,True,False,1.0,0,0.1764640977688996,-0.11547693840067419,-0.06663674386336249,8.0,0.06,0.12,0.12,50000.0,1.0,100.0
2,1,7,52.90016396424647,False,False,0.8493396380238056,0,0.5303495889810764,-0.0603119619743141,-0.1036871702629723,8.0,0.06,0.12,0.12,50000.0,1.0,100.0
2,2,8,15.046451690370885,False,False,0.28468938529267895,0,0.3154503155035591,-0.09534946836672153,0.6671354597167862,8.0,0.06,0.12,0.12,50000.0,1.0,100.0
3,0,9,-8193.253670755545,False,False,0.11397358552095223,2733,0.23100662274256722,-0.03658030130384264,1.0310916816032127,12.0,0.08,0.16,0.14,30000.0,1.0,150.0
3,1,10,7.324459334505981,False,False,0.11593021359856515,0,0.14071541885160593,0.002979827539780891,1.062043861867688,12.0,0.08,0.16,0.14,30000.0,1.0,150.0
3,2,11,54.14960115238425,False,False,0.8362954508397196,0,0.30594330856260177,-0.08533265699821822,-0.004390431983065032,12.0,0.08,0.16,0.14,30000.0,1.0,150.0
