sample_id,episode,variation_id,score,D_min,label,completed,collided,progress_ratio,qp_failures,mean_abs_cte,min_obstacle_clearance,min_barrier_clearance,class_k_p,class_k_q
0,0,0,168.11420813111388,-0.0543237079999901,1,True,False,1.0,0,0.24544045562742678,-0.0543237079999901,0.08095615472117039,3.0,1.0
1,0,1,168.77836665960552,0.19268752767318342,1,True,False,1.0,0,0.20360555673241307,0.19268752767318342,0.39164721492729937,2.292264776365606,2.2738703621330663
2,0,2,168.4744686859616,-0.07510265429742603,1,True,False,1.0,0,0.12264568308096488,-0.07510265429742603,-0.034531605567872006,4.874867885507827,0.7954558179793021
3,0,3,167.7132757857239,0.19160724927548511,1,True,False,1.0,0,0.38112070237934836,0.19160724927548511,0.4582945238250609,0.4499758736707275,2.221817579871776
4,0,4,15.2303347201393,0.22088039764219347,-1,False,False,0.27914560573944236,0,0.7183096136036108,0.22088039764219347,0.3390653498729297,0.10267336204247662,2.1067025204420857
5,0,5,168.9802708593449,-0.0033598860928897994,1,True,False,1.0,0,0.1696914506361828,-0.0033598860928897994,0.09798728400154631,5.426200246531796,1.329456896256186
6,0,6,39.813002702408355,0.004125028911146619,-1,False,False,0.625142670797326,0,0.6578307089007437,0.004125028911146619,0.0971135774602697,0.45648468880377246,0.9125363466217014
7,0,7,46.05032721389197,0.028619913982471643,-1,False,False,0.7086254687754769,0,0.5922426000652358,0.028619913982471643,0.18059336474244225,0.35860759383293866,1.2791678729418225
8,0,8,167.35517780946137,-0.0102856097138362,1,True,False,1.0,0,0.4383351771887824,-0.0102856097138362,0.14663159271387854,1.2529768761003324,1.5176941745638837
9,0,9,168.94780779354,-0.016706228374581758,1,True,False,1.0,0,0.16885307952491888,-0.013339516021607725,-0.016706228374581758,14.665587492191436,2.0438562222702568
10,0,10,-149.56674559000277,-0.17388191616213333,-1,False,False,0.4545899233654003,57,1.0258585530051103,0.07686129398778495,-0.17388191616213333,2.2590132734973785,2.475712324900147
11,0,11,13.07052195579855,0.023774107569754163,-1,False,False,0.25745964454589926,0,0.8252755270690666,0.05097747886431157,0.023774107569754163,0.29412461806298723,0.652466474487258
